Artifact Name,Date,Culture/Region,Material,Dimensions,Category/Type,Description,Artifact Image URL,Object Number
Falling Buffe,16th century,possibly French,Steel,H. 8 1/2 in. (21.6 cm); W. 7 7/8 in. (20 cm); D. 7 7/8 in. (20 cm); Wt. 3lb. 0.5 oz. (1375 g),Armor Parts-Buffes,"This artifact reflects the creative ingenuity of its creators, offering a glimpse into a world of timeless artistry. This artifact is called 'Falling Buffe' and belongs to the category 'Armor Parts-Buffes' from the 'possibly French' culture dating back to 16th century.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/22217/1578014/main-image,14.25.541
Sword Guard (Tsuba),ca. 1615–1868,Japanese,"Copper-gold alloy (shakudō), gold, copper",H. 2 3/4 in. (7 cm); W. 2 1/2 in. (6.4 cm); thickness 3/16 in. (0.5 cm); Wt. 4.4 oz. (124.7 g),Sword Furniture-Tsuba,Atsubais a sword guard and part of a sword mounting. It is mounted between the sword’s blade and grip to protect the user’s hands.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/34381/1338594/main-image,29.100.970
Sword Guard (Tsuba),ca. 1615–1868,Japanese,"Iron, gold, copper",H. 3 in. (7.6 cm); W. 2 7/8 in. (7.3 cm); thickness 3/16 in. (0.5 cm); Wt. 4.9 oz. (138.9 g),Sword Furniture-Tsuba,Atsubais a sword guard and part of a sword mounting. It is mounted between the sword’s blade and grip to protect the user’s hands.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/34426/1338779/main-image,29.100.1015
Shaffron (Horse's Head Defense),ca. 1570–80,"German, Augsburg","Steel, copper alloy, gold, leather",H. 22 3/4  in. (57.8 cm); W. 10 1/2 in. (26.7 cm); Wt. 3 lb. 14 oz. (1767 g),Equestrian Equipment-Shaffrons,"The fine quality of the hammer-work, the elegant form, and the decorative washers and plume-holder of brass are stylistic features pointing to an Augsburg origin. The shaffron probably was made to accompany a plain tournament armor of polished steel like one also in the Metropolitan Museum's collection (acc. nos. 29.154.1 and 14.25.689).",https://collectionapi.metmuseum.org/api/collection/v1/iiif/27176/58558/main-image,14.25.1647
"Crinet Plate Belonging to an Armor for Field and Tournament Made for Duke Nikolaus ""The Black"" Radziwill (1515–1565), Duke of Nesvizh and Olyka, Prince of the Empire, Grand Chancellor and Marshal of Lithuania",ca. 1555; probably repainted later,"German, Nuremberg","Steel, brass, gold, paint",L. 13 7/8 in. (35.5 cm); H. 3 7/8 in. (9.8 cm); Wt. 9 oz. (261 g),Armor for Horse,"This crinet plate, along with the matching shaffron also in the Metropolitan Museum's collection (21.42), form part of an important garniture of armor for field and tournament use made for Nikolaus ""the Black"" Radziwill (1515–1565), duke of Nesvizh and Olyka, prince of the empire, and grand chancellor and marshall of Lithuania––one of the wealthiest and most important nobles in Poland and Lithuania. Several elements of the garniture survive, six of which (including this one) are preserved in the Metropolitan Museum's collection. Made by the distinguished Nuremberg armorer Kunz (Konrad) Lochner, the Radziwill armor, with its overall etched design of interlaced strapwork and brilliant polychromy, is one of the most distinctive and colorful examples of the sixteenth century.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/26579/58588/main-image,14.25.854
Sword Guard (Tsuba),dated 1762,Japanese,"Copper-gold alloy (shakudō), gold, copper-silver alloy (shibuichi), copper",H. 3 in. (7.6 cm); W. 2 7/8 in. (7.3 cm); thickness 3/8 in. (1 cm); Wt. 7 oz. (198.4 g),Sword Furniture-Tsuba,Atsubais a sword guard and part of a sword mounting. It is mounted between the sword’s blade and grip to protect the user’s hands.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/34421/1338943/main-image,29.100.1010
Sword Guard (Tsuba),ca. 1615–1868,Japanese,"Silver, copper, copper alloy (sentoku), gold",H. 3 1/4 in. (8.3 cm); W. 3 in. (7.6 cm); thickness 9/16 in. (1.4 cm); Wt. 7 oz. (198.4 g),Sword Furniture-Tsuba,Atsubais a sword guard and part of a sword mounting. It is mounted between the sword’s blade and grip to protect the user’s hands.,https://collectionapi.metmuseum.org/api/collection/v1/iiif/34452/1338815/main-image,29.100.1041
Double-Barreled Flintlock Shotgun with Exchangeable Percussion Locks and Barrels,"ca. 1818–20; exchangeable percussion locks and barrels, dated 1860","French, Versailles and Paris","Steel, gold, wood (walnut), silver, horn",L. of gun 47 3/8 in. (120.3 cm); L. of double barrel 31 7/8 in. (81.0 cm); L. of percussion locks 5 in. (12.7 cm); L. of bullet pouch 7 1/4 in. (18.4 cm); L. of priming flask 6 5/8 in. (16.8 cm); L. of bullet mold 6 3/4 in. (17.1 cm); L. of ramrod extension 10 3/8 in. (26.4 cm); L. of hammer extractor 2 3/16 in. (5.6 cm); L. of brush for cleaning barrel 2 13/16 in. (7.1 cm); L. of bullet extractor 1 5/16 in. (3.3 cm); L. of screwdriver 6 in. (15.2 cm); L. of bullet extractor 3 1/8 in. (7.9 cm); L. of touch hole cleaner 3 3/16 in. (8.1 cm); Cal. .61 in. (15.5 mm); Wt. of gun 6 lbs. 15 oz. (3150 g); Wt. of double barrel 3 lbs. 8 oz. (1600 g); Wt. of percussion locks 5 oz. (150 g); Wt. of bullet pouch 2.5 oz. (71 g); Wt. of priming flask 4.6 oz. (131 g); Wt. of bullet mold 7 oz. (198 g),Firearms,"Perhaps the richest and most beautiful gun from the last phase of Boutet’s long career, this firearm was made by him after the Restoration of the monarchy in France in 1815. Its exuberant decoration is reminiscent of the style fashionable before the revolution in 1789. The gun was so appreciated by its owner that, in 1860, he commissioned a group of skillful gunmakers to produce a similarly decorated set of barrels and locks using percussion caps, an advanced method of ignition developed after 1820.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/24684/1780596/main-image,42.50.7a–n
Spear,17th century,Indian,Iron,L. 55 3/4 in. (141.6 cm); L. of head 28 3/4 in. (73 cm); W. 3/4 in. (1.9 cm); Wt. 4 lbs. 3 oz. (1899.4 g),Shafted Weapons,"This artifact reflects the creative ingenuity of its creators, offering a glimpse into a world of timeless artistry. This artifact is called 'Spear' and belongs to the category 'Shafted Weapons' from the 'Indian' culture dating back to 17th century.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/32274/1448824/main-image,32.75.288
Dagger (Chilanum),17th century,South Indian,"Steel, gold",H. 13 5/8 in. (34.6 cm); W. 2 3/4 in. (7 cm); Wt. 11.3 oz. (320.3 g),Daggers,"This artifact reflects the creative ingenuity of its creators, offering a glimpse into a world of timeless artistry. This artifact is called 'Dagger (Chilanum)' and belongs to the category 'Daggers' from the 'South Indian' culture dating back to 17th century.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/31679/1366116/main-image,36.25.897
"Armor of Henry II, King of France (reigned 1547–59)",ca. 1555,"French, possibly Paris","Steel, gold, silver, leather, textile",H. 74 in. (187.96 cm); Wt. 53 lb. 4 oz. (24.20 kg),Armor for Man,"This is one of the most elaborate and complete French parade armors, and it retains much of its original coloring. The surfaces are covered by dense foliate scrolls inhabited by human figures and a variety of fabulous creatures that derive from the Italian grotesque. The decoration includes, at the center of the breast, a Roman warrior receiving tribute of arms from two kneeling females and, on the shoulders, Apollo chasing the nymph Daphne (front) and Apollo with the slain monster Python (back). The crescent moon, one of the badges of Henry II (reigned 1547–59), appears in several places.Twenty original design drawings for this armor survive. One is by Jean Cousin the Elder; the rest are by either Étienne Delaunne or Baptiste Pellerin. All three were distinguished Parisian artists of the mid-sixteenth century.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/24671/64668/main-image,39.121a–n
Halberd,ca. 1590,French,"Steel, brass, wood",L. 8 ft. 10 5/8 in. (270.7 cm); L. of head 35 1/2 in. (90.1 cm); W. 12 1/4 in. (31.1 cm); Wt. 5 lbs. 13 oz. (2640 g),Shafted Weapons,"This artifact reflects the creative ingenuity of its creators, offering a glimpse into a world of timeless artistry. This artifact is called 'Halberd' and belongs to the category 'Shafted Weapons' from the 'French' culture dating back to ca. 1590.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/26206/1448673/main-image,14.25.194
Messenger Badge,ca. 1300,Italian or Spanish,"Copper, gold, enamel",H. 5 1/8 in. (13 cm); W. 3 7/16 in. (8.7 cm); D. 1/2 in. (1.3 cm),Miscellaneous-Badges,"Before the introduction of regular mail service by governments, letters and messages had to be transported by heralds and trusted messengers employed by feudal lords or city magistrates. These men were identified on their official missions by shield-shaped badges worn on their clothing and displaying the heraldic arms of their employers. In some early examples, these badges were constructed as boxes with lids, probably to store credentials or even small messages on parchment. Many of the badges were made of silver and were often decorated with enamel.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/25425/1300529/main-image,04.3.301
